geoid,APPLIANCE,Adopt-A-Basket,Air Quality,Animal Abuse,Animal Facility - No Permit,Animal in a Park,Asbestos,BEST/Site Safety,Beach/Pool/Sauna Complaint,Bike Rack Condition,Bike/Roller/Skate Chronic,Blocked Driveway,Boilers,Bottled Water,Bridge Condition,Broken Muni Meter,Broken Parking Meter,Building Condition,Building/Use,Bus Stop Shelter Placement,CONSTRUCTION,Calorie Labeling,City Vehicle Placard Complaint,Collection Truck Noise,Construction,Consumer Complaint,Cranes and Derricks,Curb Condition,DOF Parking - Tax Exemption,DOF Property - Reduction Issue,DOOR/WINDOW,DPR Internal,Damaged Tree,Dead Tree,Derelict Bicycle,Derelict Vehicle,Derelict Vehicles,Dirty Conditions,Disorderly Youth,Drinking,Drinking Water,EAP Inspection - F59,ELECTRIC,ELEVATOR,Electrical,Elevator,Emergency Response Team (ERT),FLOORING/STAIRS,Fire Alarm - Addition,Fire Alarm - Modification,Fire Alarm - New System,Fire Alarm - Reinspection,Fire Alarm - Replacement,Fire Safety Director - F58,Food Establishment,Food Poisoning,For Hire Vehicle Complaint,For Hire Vehicle Report,Found Property,GENERAL,GENERAL CONSTRUCTION,Gas Station Discharge Lines,General Construction/Plumbing,Graffiti,HEAT/HOT WATER,HEATING,Harboring Bees/Wasps,Hazardous Materials,Hazmat Storage/Use,Highway Condition,Highway Sign - Damaged,Highway Sign - Dangling,Highway Sign - Missing,Homeless Encampment,Homeless Person Assistance,Illegal Animal Kept as Pet,Illegal Animal Sold,Illegal Fireworks,Illegal Parking,Illegal Tree Damage,Indoor Air Quality,Indoor Sewage,Industrial Waste,Investigations and Discipline (IAD),Lead,Legal Services Provider Complaint,Lifeguard,Literature Request,Litter Basket / Request,Maintenance or Facility,Miscellaneous Categories,Missed Collection (All Materials),Mold,Municipal Parking Facility,NONCONST,Noise,Noise - Commercial,Noise - Helicopter,Noise - House of Worship,Noise - Park,Noise - Street/Sidewalk,Noise - Vehicle,Non-Residential Heat,OUTSIDE BUILDING,Open Flame Permit,Other Enforcement,Overflowing Litter Baskets,Overflowing Recycling Baskets,Overgrown Tree/Branches,PAINT - PLASTER,PAINT/PLASTER,PLUMBING,Panhandling,Plant,Plumbing,Poison Ivy,Posting Advertisement,Public Assembly,Public Assembly - Temporary,Public Payphone Complaint,Public Toilet,Radioactive Material,Rangehood,Recycling Enforcement,Request Xmas Tree Collection,Rodent,Root/Sewer/Sidewalk Condition,SAFETY,SG-98,SG-99,Sanitation Condition,Scaffold Safety,School Maintenance,Senior Center Complaint,Sewer,Sidewalk Condition,Smoking,Snow,Special Enforcement,Special Natural Area District (SNAD),Special Projects Inspection Team (SPIT),Sprinkler - Mechanical,Squeegee,Stalled Sites,Standing Water,Standpipe - Mechanical,Street Condition,Street Light Condition,Street Sign - Damaged,Street Sign - Dangling,Street Sign - Missing,Sweeping/Inadequate,Sweeping/Missed,Tanning,Tattooing,Taxi Complaint,Taxi Report,Traffic,Traffic Signal Condition,Trans Fat,Transportation Provider Complaint,UNSANITARY CONDITION,Unleashed Dog,Unsanitary Animal Facility,Unsanitary Animal Pvt Property,Unsanitary Pigeon Condition,Urinating in Public,VACANT APARTMENT,Vacant Lot,Vending,Violation of Park Rules,WATER LEAK,Water Conservation,Water Quality,Water System,Window Guard,X-Ray Machine/Equipment
36061019702,6,0,2,7,1,1,1,0,0,0,1,6,1,0,0,0,0,0,5,1,0,0,1,1,0,4,0,0,0,0,18,0,1,2,1,1,3,12,0,0,0,0,10,0,0,6,0,11,0,0,0,2,0,0,6,0,0,0,0,7,1,0,18,3,63,68,0,0,0,0,0,0,0,4,1,0,0,0,8,0,4,0,1,0,2,0,0,0,1,2,0,1,0,0,4,34,87,1,0,5,34,15,0,0,0,1,0,0,1,5,36,28,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,4,0,0,0,2,3,3,5,0,0,0,0,0,0,0,0,38,2,0,0,1,0,1,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,19,2,0,26,0,0
36061003800,10,0,32,12,1,0,5,1,0,1,4,1,0,0,0,97,0,0,23,0,0,0,0,0,0,45,1,0,1,8,23,0,5,3,24,1,2,30,1,6,0,0,43,0,10,11,0,16,0,0,0,0,0,18,43,8,4,0,4,32,20,0,86,36,163,120,0,10,0,0,0,0,0,15,8,0,0,0,26,7,20,2,1,1,4,0,0,0,9,0,0,11,3,0,7,136,184,5,1,0,70,18,1,5,0,21,0,0,7,17,50,59,1,0,7,0,0,0,0,3,0,0,1,4,0,66,2,6,0,0,17,0,1,0,23,13,4,8,2,0,14,0,0,0,6,0,100,3,4,0,1,0,0,0,2,60,3,1,2,0,0,73,0,1,1,0,2,0,0,5,0,22,3,2,46,0,0
36047079200,16,0,4,5,0,0,3,0,0,0,0,70,1,0,0,2,0,0,31,0,0,0,0,0,0,37,1,0,0,0,51,0,5,1,0,16,67,12,0,1,0,0,74,0,2,0,0,49,0,0,0,0,0,0,5,0,1,0,0,45,27,0,19,8,189,102,0,2,0,0,0,0,0,0,0,1,0,0,40,0,1,1,0,2,0,0,0,0,0,0,0,11,0,0,15,12,82,0,3,0,38,8,1,1,0,3,1,0,9,20,127,131,0,0,5,0,0,0,0,0,0,0,0,0,0,21,3,7,0,0,22,0,0,0,33,3,1,1,0,0,2,0,0,0,0,0,40,17,11,1,1,0,2,0,0,2,0,0,2,0,0,110,1,0,2,0,1,0,0,0,0,59,3,0,25,0,0
36081103202,12,0,0,14,0,0,0,0,0,0,0,19,1,0,0,15,0,0,17,0,0,0,0,1,8,6,0,0,0,1,17,0,12,1,0,37,4,8,0,1,0,0,32,0,3,5,0,15,0,0,0,0,0,1,12,2,2,0,0,8,14,0,13,6,51,38,1,1,0,0,0,0,0,3,3,0,0,0,22,0,5,0,1,0,0,0,0,0,2,3,0,15,0,0,8,11,1,0,0,0,7,3,2,0,0,4,0,0,10,13,46,32,0,0,3,0,0,0,0,0,0,0,0,0,1,8,8,2,0,0,15,1,0,0,55,3,0,6,9,0,0,0,0,0,2,0,88,55,2,3,3,0,0,0,0,1,0,0,2,0,0,54,0,0,1,2,0,0,1,2,0,21,2,1,25,0,0
36005021501,5,0,0,2,0,0,0,0,0,0,0,29,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,30,0,1,1,0,2,0,0,0,0,0,0,9,0,0,8,0,6,0,0,0,0,0,0,1,3,0,0,0,13,11,0,0,1,83,90,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,9,3,0,1,0,0,0,0,0,2,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,6,0,0,0,2,0,0,1,1,0,5,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,75,0,0,0,0,0,0,1,0,0,10,0,0,93,0,0
36047011900,0,0,17,1,0,0,1,0,0,0,0,101,0,0,4,0,0,0,8,0,0,0,0,0,0,20,1,13,0,1,1,0,5,5,1,7,8,28,0,2,0,0,6,0,4,1,0,0,0,0,0,2,0,10,2,4,2,0,1,0,0,0,22,26,23,4,1,5,0,0,0,0,0,2,0,0,0,0,85,1,2,0,2,0,1,0,0,0,7,6,0,5,1,0,1,63,293,2,0,29,33,8,0,0,0,14,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,36,1,0,0,20,11,0,12,11,0,15,0,0,0,3,0,81,129,4,0,7,0,1,0,1,22,0,3,64,0,0,4,0,0,0,0,0,0,1,0,0,2,4,0,45,0,0
36081136700,0,0,2,0,0,1,2,0,0,0,0,47,0,0,0,12,0,0,22,0,0,0,0,0,30,1,0,2,0,0,0,0,20,12,0,32,4,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,8,6,2,3,0,1,0,3,0,0,0,2,0,0,0,0,21,0,1,0,0,1,1,0,0,0,1,3,0,7,0,0,0,6,0,0,0,4,7,3,0,0,0,3,3,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,8,0,1,0,15,3,0,9,6,0,0,0,0,0,2,0,80,52,6,0,9,0,0,0,0,1,0,0,13,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,28,0,0
36047023400,9,0,2,1,0,0,0,0,0,1,0,39,0,0,0,16,0,0,1,0,2,0,0,0,0,3,0,0,0,2,15,0,7,3,2,1,1,0,0,2,0,0,17,1,0,1,0,14,0,0,0,0,0,0,0,0,2,0,0,24,15,0,12,3,21,37,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,1,0,1,0,0,0,0,0,0,18,0,0,2,9,3,0,0,0,6,3,4,1,0,6,0,0,9,4,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,19,0,0,1,72,5,2,4,2,0,1,0,0,0,0,0,146,66,7,1,1,0,3,0,0,0,0,2,47,0,0,16,0,0,0,0,0,0,0,0,0,11,0,1,12,0,0
36047026100,19,0,4,14,0,0,3,1,0,0,1,91,1,0,0,0,0,0,10,1,4,0,0,0,0,4,1,2,0,1,40,1,9,4,0,1,0,43,0,0,0,0,64,0,6,0,0,24,0,0,0,0,0,0,1,0,1,0,0,33,13,0,42,15,127,136,0,1,0,0,0,0,0,0,0,2,0,0,33,2,1,1,0,4,2,0,0,0,3,0,0,13,0,0,29,34,3,2,0,10,58,24,2,3,0,4,1,0,4,7,70,76,0,0,4,0,1,0,0,0,0,0,0,19,1,56,3,16,0,0,30,1,1,0,27,3,4,7,0,0,3,0,0,0,1,0,19,43,1,0,1,0,3,0,0,7,0,5,19,0,0,62,0,0,2,0,0,0,8,0,0,34,2,2,29,0,0
36047013600,0,0,1,4,0,0,3,0,0,0,0,64,0,0,0,13,1,0,9,0,0,0,0,0,0,5,0,0,0,1,8,0,14,3,0,6,7,9,0,0,0,0,12,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,1,2,0,10,22,24,14,0,0,0,0,0,0,0,0,0,0,0,0,34,2,1,1,1,0,3,0,0,0,0,0,0,13,0,0,2,9,22,0,0,0,3,3,0,2,0,4,0,0,13,3,47,9,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,5,0,0,20,0,0,0,10,0,2,12,0,0,1,0,0,1,0,0,61,10,2,0,0,0,1,0,0,2,0,1,9,0,0,8,0,0,0,0,0,0,0,0,0,9,2,1,24,0,0
36005040400,3,0,4,1,0,0,0,0,0,0,0,128,1,0,0,0,0,0,8,0,1,0,0,0,0,2,0,0,0,0,4,0,4,1,0,3,3,18,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,2,18,0,7,1,64,95,2,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,7,6,0,0,0,0,3,1,0,1,0,0,0,0,5,8,10,26,0,0,5,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,24,0,7,0,9,1,0,17,1,0,0,0,0,0,2,0,24,4,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,2,0,0,2,5,0,19,0,0
36005039600,14,0,0,3,0,0,0,0,0,0,0,86,5,0,0,1,0,0,12,0,0,0,0,0,0,5,0,0,0,0,43,0,6,0,0,0,6,20,0,0,1,0,55,0,2,0,0,29,0,0,0,0,0,0,0,3,0,0,0,15,27,0,9,8,117,96,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,2,1,0,1,0,0,0,2,0,0,3,0,0,8,4,1,0,0,0,10,13,0,9,0,0,0,0,4,26,77,69,0,0,6,0,0,0,0,0,0,0,0,1,0,11,3,9,0,0,15,0,0,0,9,0,0,9,2,0,0,0,0,0,1,0,18,2,0,2,0,0,1,0,0,1,0,0,0,0,0,89,0,0,3,0,0,0,3,0,0,48,11,0,55,0,0
36085023900,5,0,3,7,0,0,0,0,0,0,0,20,0,0,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,11,0,4,3,0,21,5,18,0,1,0,0,9,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,1,16,0,12,5,16,8,0,1,0,3,0,0,0,1,1,0,0,0,31,2,0,0,6,0,1,0,0,0,1,0,0,26,1,0,2,14,3,0,0,0,2,5,0,0,0,3,0,0,5,19,6,26,0,0,3,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,13,0,0,0,35,1,1,16,0,0,0,0,0,0,2,0,88,24,6,1,5,0,0,0,0,0,0,1,11,0,0,25,2,0,2,0,0,0,0,0,1,6,5,1,23,0,0
36047035900,18,0,2,15,0,1,0,0,0,0,0,54,3,0,0,0,0,0,7,0,0,0,1,0,0,2,0,0,0,0,52,0,0,0,1,1,3,17,0,2,0,0,42,0,5,10,0,34,0,0,0,0,0,0,3,0,2,0,0,30,37,0,9,11,152,106,0,1,0,0,0,0,0,0,0,0,0,0,16,0,2,2,0,0,3,0,0,0,2,0,0,1,0,0,8,8,2,0,1,0,14,12,1,3,0,1,1,0,4,13,109,83,0,0,0,0,0,0,0,0,1,0,0,1,0,24,0,13,0,0,13,0,2,0,13,1,7,8,2,0,1,0,0,0,2,0,27,37,3,1,5,0,0,0,0,2,0,2,20,0,0,82,0,0,9,0,0,0,1,0,0,51,0,0,15,0,0
36005009200,11,0,4,8,0,0,2,0,0,0,0,68,7,0,0,28,0,0,18,0,0,0,0,0,0,14,0,1,0,3,38,0,6,6,0,5,1,30,2,3,1,0,27,0,3,0,0,13,0,0,0,0,0,0,8,6,2,0,0,31,20,0,7,34,97,230,0,2,0,10,0,0,0,0,0,0,0,0,17,1,0,0,2,1,0,0,0,0,0,3,0,7,1,0,17,7,54,0,0,0,14,3,1,1,0,6,1,0,13,12,56,54,0,0,4,0,0,0,0,1,0,0,0,0,0,12,2,1,0,0,12,0,0,0,12,1,0,3,3,0,0,0,0,0,3,0,38,52,3,0,2,0,0,0,0,2,0,2,14,0,0,56,1,0,1,0,1,0,1,2,0,31,2,1,17,0,0
36061010300,0,0,6,0,0,0,4,0,0,0,0,4,1,0,0,36,0,0,1,3,0,0,0,0,0,23,0,0,1,0,3,0,0,0,4,0,0,4,0,0,0,2,6,0,0,17,0,9,0,0,0,0,0,30,6,3,3,0,0,9,4,0,12,3,122,16,0,0,0,0,0,0,0,0,1,0,0,0,26,0,5,0,1,0,0,0,0,0,2,0,0,0,1,0,8,138,20,0,0,0,11,13,0,0,0,2,0,0,0,1,11,33,0,0,1,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,4,0,0,0,10,2,0,7,1,0,5,1,0,0,0,0,96,0,2,0,0,0,0,0,0,49,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,2,2,0,25,0,0
36047031500,25,0,5,6,0,0,0,0,0,0,1,56,4,0,0,3,0,0,19,0,0,0,0,0,0,4,0,0,0,10,50,0,5,0,0,2,3,19,0,1,0,0,81,1,4,8,0,47,0,0,0,0,0,3,8,1,2,0,0,46,40,0,21,10,172,173,0,1,0,0,0,0,0,4,0,0,0,0,12,0,6,2,0,1,2,0,0,0,1,0,0,13,0,0,25,34,62,0,3,0,71,15,0,3,0,3,2,0,7,32,146,118,0,0,2,0,0,0,0,0,0,0,0,0,0,29,3,6,0,0,25,0,0,0,13,0,0,5,0,0,2,0,1,0,0,0,22,34,1,0,1,0,1,0,0,11,0,2,13,0,0,124,0,0,0,4,0,0,0,2,0,80,3,3,23,0,0
36047009600,0,0,1,2,0,0,0,0,0,0,0,55,0,0,0,3,0,0,26,0,0,0,0,0,0,8,0,1,0,0,12,1,1,5,0,3,2,9,0,2,0,0,17,0,3,0,0,17,0,0,0,0,0,0,3,0,0,0,0,19,3,0,11,18,75,81,0,1,0,0,0,0,0,1,0,0,0,0,70,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,21,19,1,0,154,21,10,0,2,0,1,0,0,0,7,45,35,0,0,6,0,0,0,0,3,0,0,0,0,0,8,11,12,0,0,6,0,0,0,5,1,2,6,1,0,0,0,0,0,1,0,39,27,1,1,0,0,1,0,0,3,0,0,8,0,0,35,0,0,0,0,0,0,0,4,0,23,1,1,12,0,0
36047038800,0,0,3,1,0,0,1,0,0,0,0,31,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,6,0,4,2,0,3,5,16,0,0,0,0,7,3,2,2,0,5,0,0,0,0,0,0,0,1,0,1,0,9,0,0,5,9,51,11,0,2,0,0,0,0,0,0,0,1,0,0,73,0,1,1,3,0,1,0,0,0,3,0,0,14,0,0,2,23,3,0,0,0,4,1,0,1,0,2,2,0,4,0,21,4,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,32,0,1,0,33,2,1,12,1,0,0,0,0,0,0,0,33,14,1,0,1,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,8,1,0,12,0,0
